"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","tipo_receita","rubrica_receita","VALUE","QT_HABITANTE","ELEMENTLABEL","dh_consulta"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.2.8.10.0.0 Transferência de Convênios dos Estados e do Distrito Federal e de Suas Entidades","814400","869265","1.7.2.8.10.0.0 Transferência de Convênios dos Estados e do Distrito Federal e de Suas Entidades","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.3.0.00.0.0 - Transferências dos Municípios e de suas Entidades","898463.36","869265","1.7.3.0.00.0.0 - Transferências dos Municípios e de suas Entidades","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.99.0.0 Outras Transferências da União","150562215.09","869265","1.7.1.8.99.0.0 Outras Transferências da União","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.2.0.00.0.0 - Transferências dos Estados e do Distrito Federal e de suas Entidades","829912.32","869265","1.7.2.0.00.0.0 - Transferências dos Estados e do Distrito Federal e de suas Entidades","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.9.9.0.99.0.0 - Outras Receitas","7739249.44","869265","1.9.9.0.99.0.0 - Outras Receitas","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.9.9.0.99.1.0 - Outras Receitas - Primárias","7739249.44","869265","1.9.9.0.99.1.0 - Outras Receitas - Primárias","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","2.1.1.2.00.0.0 Operações de Crédito Contratuais - Mercado Interno","49496071.69","869265","2.1.1.2.00.0.0 Operações de Crédito Contratuais - Mercado Interno","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.7.0.00.0.0 - Transferências de Pessoas Físicas","90180.2","869265","1.7.7.0.00.0.0 - Transferências de Pessoas Físicas","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.6.1.0.04.0.0 - Serviços de Informação e Tecnologia","5314643.27","869265","1.6.1.0.04.0.0 - Serviços de Informação e Tecnologia","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.6.9.0.00.0.0 - Outros Serviços","6970113.02","869265","1.6.9.0.00.0.0 - Outros Serviços","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.0.00.0.0 - Transferências da União e de suas Entidades","3872104707.68","869265","1.7.1.0.00.0.0 - Transferências da União e de suas Entidades","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.00.0.0 Transferências da União - Específicas de Estados, DF e Municípios","3872104707.68","869265","1.7.1.8.00.0.0 Transferências da União - Específicas de Estados, DF e Municípios","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.4.0.0.00.0.0 - Receita Agropecuária","117834.34","869265","1.4.0.0.00.0.0 - Receita Agropecuária","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Deduções - FUNDEB","1.7.1.8.01.6.0 Cota-Parte do Imposto Sobre Produtos Industrializados ¿ Estados Exportadores de Produtos Industrializados","152420.59","869265","1.7.1.8.01.6.0 Cota-Parte do Imposto Sobre Produtos Industrializados ¿ Estados Exportadores de Produtos Industrializados","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.03.0.0 Transferência de Recursos do Sistema Único de Saúde ¿   SUS ¿ Bloco Custeio das Ações e Serviços Públicos de Saúde","246770860.46","869265","1.7.1.8.03.0.0 Transferência de Recursos do Sistema Único de Saúde ¿   SUS ¿ Bloco Custeio das Ações e Serviços Públicos de Saúde","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.9.2.2.00.0.0 - Restituições","20428288.89","869265","1.9.2.2.00.0.0 - Restituições","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.9.2.3.00.0.0 - Ressarcimentos","42587.4","869265","1.9.2.3.00.0.0 - Ressarcimentos","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.9.2.1.99.0.0 - Outras Indenizações","79196.84","869265","1.9.2.1.99.0.0 - Outras Indenizações","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.3.2.1.00.4.0 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS","920489.93","869265","1.3.2.1.00.4.0 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS","##------ Sun Mar  1 14:14:45 2026 ------##"
